Date,Year,Month,Unemployment Rate for 16yo and over,Unemployment Rate for Men 16yo and over,Unemployment Rate for Women 16yo and over,Unemployment Rate for White people 16yo and over,Unemployment Rate for African Americans 16yo and over,Unemployment Rate for Asian people 16yo and over,Unemployment Rate for Hispanic people 16yo and over,Unemployment Rate for 25yo and older with less than High School Diploma,Unemployment Rate for 25yo and older with High School Degree,Unemployment Rate for 25yo and older with some college,Unemployment Rate for 25yo and older with Bachelor's degree or higher,Unemployment Rate for 16-24yo,Unemployment Rate for 25-34yo,Unemployment Rate for 35-44yo,Unemployment Rate for 45-54yo,Unemployment Rate for 55yo and over
2016-07,2016,July,4.8,5.0,4.6,4.2,8.4,3.8,5.5,6.5,5.1,4.2,2.5,10.7,5.1,3.5,3.5,3.7
2016-08,2016,August,4.9,5.0,4.8,4.3,8.0,4.1,5.6,7.4,5.0,4.2,2.6,10.4,5.0,4.0,3.5,3.5
2016-09,2016,September,5.0,5.1,4.9,4.4,8.5,3.8,6.4,8.5,5.3,4.2,2.5,10.5,5.3,4.2,3.6,3.6
2016-10,2016,October,4.9,5.0,4.7,4.4,8.4,3.4,5.8,7.4,5.4,3.9,2.6,10.4,5.1,3.9,3.5,3.7
2016-11,2016,November,4.7,4.8,4.6,4.2,8.1,3.1,5.8,7.8,5.0,3.9,2.4,10.0,4.8,3.6,3.6,3.5
2016-12,2016,December,4.7,4.8,4.6,4.2,7.9,2.7,5.9,7.5,5.1,3.8,2.5,9.8,4.7,4.0,3.4,3.5
2017-01,2017,January,4.7,4.7,4.7,4.2,7.5,3.7,5.8,7.4,5.2,3.8,2.5,9.8,4.9,3.9,3.3,3.5
2017-02,2017,February,4.6,4.7,4.6,4.0,7.9,3.4,5.5,7.7,4.9,4.0,2.4,9.7,4.7,4.1,3.2,3.4
2017-03,2017,March,4.4,4.6,4.3,3.9,7.9,3.3,5.0,6.6,4.9,3.7,2.4,9.2,4.5,3.8,3.2,3.3
2017-04,2017,April,4.4,4.4,4.5,3.9,7.9,3.3,5.1,6.4,4.6,3.7,2.5,9.5,4.4,3.6,3.5,3.2
2017-05,2017,May,4.4,4.3,4.5,3.8,7.7,3.7,5.2,6.3,4.8,4.1,2.3,8.7,4.9,3.5,3.3,3.1
2017-06,2017,June,4.3,4.4,4.3,3.8,7.1,3.6,4.9,6.5,4.6,3.8,2.3,9.1,4.4,3.4,3.5,3.1
2017-07,2017,July,4.3,4.3,4.2,3.7,7.4,3.8,5.1,7.1,4.5,3.7,2.3,8.9,4.6,3.5,3.1,3.1
2017-08,2017,August,4.4,4.5,4.3,3.8,7.7,3.9,5.2,6.1,5.1,3.7,2.4,9.1,4.8,3.3,3.4,3.2
2017-09,2017,September,4.2,4.3,4.2,3.7,7.2,3.6,5.1,6.7,4.4,3.6,2.3,9.2,4.5,3.2,3.1,3.2
2017-10,2017,October,4.1,4.2,4.0,3.5,7.4,3.0,4.9,5.9,4.2,3.7,2.1,9.1,4.4,3.0,2.8,3.1
2017-11,2017,November,4.2,4.2,4.1,3.7,7.4,3.0,4.8,5.2,4.4,3.6,2.1,9.8,4.3,3.1,2.8,3.1
2017-12,2017,December,4.1,4.1,4.1,3.7,6.7,2.5,5.0,6.2,4.2,3.6,2.2,8.9,4.4,3.0,2.7,3.3
2018-01,2018,January,4.1,4.2,4.0,3.5,7.5,3.0,5.0,5.4,4.4,3.4,2.1,9.0,4.3,3.1,3.0,3.0
2018-02,2018,February,4.1,4.1,4.1,3.7,6.7,2.9,4.9,5.7,4.4,3.5,2.2,8.9,4.2,3.1,2.9,3.2
2018-03,2018,March,4.0,4.1,4.0,3.6,6.8,3.1,5.0,5.5,4.3,3.5,2.2,8.5,4.1,3.2,2.9,3.2
2018-04,2018,April,4.0,4.1,3.8,3.6,6.4,2.8,4.8,5.8,4.3,3.4,2.1,8.5,4.3,3.0,2.8,3.0
2018-05,2018,May,3.8,4.0,3.6,3.5,5.9,2.2,4.9,5.5,3.9,3.3,2.0,8.6,3.9,2.9,2.7,2.8
2018-06,2018,June,4.0,4.1,3.9,3.5,6.5,3.2,4.5,5.5,4.1,3.3,2.3,8.9,3.9,3.1,3.0,3.1
2018-07,2018,July,3.8,3.8,3.9,3.3,6.6,3.1,4.4,5.2,4.1,3.2,2.2,8.6,3.5,3.0,2.9,3.1
2018-08,2018,August,3.8,3.8,3.8,3.4,6.3,3.0,4.7,5.7,3.9,3.5,2.0,8.5,4.1,2.8,2.5,3.0
2018-09,2018,September,3.7,3.8,3.7,3.3,6.2,3.5,4.6,5.7,3.8,3.2,2.0,8.6,3.6,3.0,2.6,2.8
2018-10,2018,October,3.8,3.8,3.8,3.3,6.3,3.1,4.4,5.9,4.0,3.1,2.0,8.4,3.7,3.0,2.8,2.8
2018-11,2018,November,3.7,3.6,3.8,3.4,6.1,2.8,4.5,5.6,3.5,3.1,2.2,8.2,3.7,2.9,2.7,2.8
2018-12,2018,December,3.9,3.9,3.8,3.4,6.6,3.3,4.4,5.8,3.8,3.3,2.2,8.7,3.9,2.8,2.9,2.9
